,Set of Features,Model,R2_Mean_CV
23,voting,Lightgbm,0.8941439361193225
13,model,Lightgbm,0.8911727619913459
24,voting,XGBoost,0.890005629273336
8,filter,Lightgbm,0.8881686850170368
9,filter,XGBoost,0.8851200526240255
18,rfe,Lightgbm,0.8824416293972144
3,visual,Lightgbm,0.882262550599652
19,rfe,XGBoost,0.8805617789187643
14,model,XGBoost,0.8794246447734796
22,voting,Random Forest,0.8743670776131477
12,model,Random Forest,0.8739486709242368
7,filter,Random Forest,0.871670793196829
17,rfe,Random Forest,0.869257014929212
4,visual,XGBoost,0.8660859668023629
2,visual,Random Forest,0.8586317535952155
28,pca,Lightgbm,0.7940224275786505
10,model,Linear,0.7888677053652514
20,voting,Linear,0.7883721275541397
25,pca,Linear,0.7832893456713503
0,visual,Linear,0.7797668268751051
15,rfe,Linear,0.7795835289127702
29,pca,XGBoost,0.7725128599156795
5,filter,Linear,0.7683139178034952
27,pca,Random Forest,0.7220488661644884
1,visual,SVR,0.5629956264639172
11,model,SVR,0.4929689820786409
16,rfe,SVR,0.46997287050044945
21,voting,SVR,0.4576143453608962
6,filter,SVR,0.4561270498154899
26,pca,SVR,0.39355988363954636
