,Biomass,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore,flow_fr_es,flow_es_pt,day_ahead_price
2025-10-31 00:00:00+00:00,1604.0,19356.0,88.0,572.0,496.0,1764.0,3672.0,19936.0,24.0,328.0,224.0,872.0,43144.0,7829.719999999999,4600.52,183.7
2025-11-01 00:00:00+00:00,42048.0,539508.0,2240.0,72316.0,149596.0,44268.0,83916.0,474448.0,728.0,6980.0,381396.0,21172.0,751268.0,136353.96,196898.32,4489.75
2025-11-02 00:00:00+00:00,36568.0,549520.0,2496.0,65860.0,200852.0,38124.0,76064.0,479196.0,716.0,6644.0,470096.0,19920.0,652692.0,128751.56,211485.88,3899.55
2025-11-03 00:00:00+00:00,34404.0,662740.0,3408.0,130556.0,90440.0,44328.0,152236.0,480124.0,404.0,6716.0,634012.0,20712.0,383808.0,158723.48,127197.36,7902.49
2025-11-04 00:00:00+00:00,33360.0,517316.0,2524.0,88480.0,106112.0,41668.0,115276.0,480712.0,364.0,6712.0,507196.0,20900.0,834352.0,154136.32,92069.56,4558.18
2025-11-05 00:00:00+00:00,32796.0,449632.0,2296.0,54212.0,135024.0,49844.0,67500.0,480272.0,564.0,6652.0,256580.0,19256.0,1373504.0,106452.56,102799.68,2624.12
2025-11-06 00:00:00+00:00,33132.0,463672.0,2444.0,58596.0,167760.0,59672.0,92976.0,479660.0,644.0,6904.0,386576.0,18272.0,1348312.0,21456.36,147417.84,4018.68
2025-11-07 00:00:00+00:00,35456.0,604116.0,2704.0,108260.0,17700.0,67164.0,139648.0,479996.0,464.0,7376.0,319328.0,19568.0,956064.0,24592.96,85108.32,6581.3
2025-11-08 00:00:00+00:00,31788.0,546572.0,1924.0,52308.0,153184.0,60740.0,99636.0,479928.0,512.0,6656.0,478280.0,20936.0,955124.0,42192.16,204221.08,3953.79
2025-11-09 00:00:00+00:00,33312.0,608272.0,2072.0,86700.0,107588.0,55892.0,123136.0,468440.0,264.0,5704.0,532776.0,20896.0,485900.0,114185.48,193729.2,5644.02
2025-11-10 00:00:00+00:00,34280.0,751704.0,2692.0,121632.0,55880.0,60348.0,192384.0,420332.0,700.0,6000.0,529276.0,20504.0,531932.0,170564.4,177312.56,7849.67
2025-11-11 00:00:00+00:00,34428.0,650960.0,2800.0,94872.0,86640.0,63564.0,134904.0,380160.0,728.0,6248.0,519712.0,19332.0,835836.0,117282.32,73254.24,6202.72
2025-11-12 00:00:00+00:00,34156.0,475168.0,2276.0,70016.0,137856.0,66576.0,101404.0,379312.0,704.0,6348.0,445544.0,19548.0,1295360.0,58258.840000000004,96015.6,2617.45
2025-11-13 00:00:00+00:00,40344.0,531476.0,2144.0,65168.0,85868.0,74744.0,124384.0,386816.0,256.0,6596.0,132288.0,20064.0,1459048.0,50444.0,53488.8,3041.9
2025-11-14 00:00:00+00:00,40420.0,495728.0,2228.0,52264.0,121644.0,90372.0,122512.0,418404.0,0.0,6756.0,244692.0,20408.0,1350696.0,73629.64,53721.24,2836.12
2025-11-15 00:00:00+00:00,41928.0,402644.0,1956.0,50816.0,114468.0,97424.0,135140.0,435724.0,0.0,6756.0,151376.0,20616.0,1196760.0,23332.16,21434.64,3069.74
2025-11-16 00:00:00+00:00,39356.0,461300.0,1980.0,65372.0,139192.0,99948.0,156964.0,456648.0,0.0,6588.0,315336.0,20796.0,764540.0,68059.12,10327.44,3446.2
2025-11-17 00:00:00+00:00,39540.0,703668.0,2836.0,96132.0,52424.0,98908.0,204612.0,441600.0,424.0,6812.0,361656.0,20756.0,648208.0,160209.16,59692.76,7609.7
